event_id,user_id,event_type,product_id,amount,ts
1,u001,PAGE_VIEW,p-100,,2026-09-01 09:01:00
2,u001,ADD_TO_CART,p-200,,2026-09-01 09:03:00
3,u001,PURCHASE,p-200,49.9,2026-09-01 09:04:00
4,u002,PAGE_VIEW,p-300,,2026-09-01 10:15:00
5,u002,PURCHASE,p-300,19.95,2026-09-01 10:22:00
6,u003,page_view,p-100,,2026-09-01 11:00:00
7,u003,purchase,p-100,99.0,2026-09-01 11:05:00
7,u003,purchase,p-100,99.0,2026-09-01 11:05:00
8,u004,PAGE_VIEW,p-400,,2026-09-02 08:30:00
9,u002,ADD_TO_CART,p-200,,2026-09-02 09:41:00
10,u002,PURCHASE,p-200,49.9,2026-09-02 09:55:00
11,u005,PURCHASE,p-500,5.75,2026-09-02 12:10:00
12,u001,PAGE_VIEW,p-300,,2026-09-02 14:00:00
13,,PAGE_VIEW,p-100,,2026-09-02 15:33:00
